,Brazil,Brazil,Brazil,China,China,China,India,India,India,South Africa,South Africa,South Africa
Country Code,BRA,BRA,BRA,CHN,CHN,CHN,IND,IND,IND,ZAF,ZAF,ZAF
Indicator Name,Population growth (annual %),Forest area (% of land area),Arable land (% of land area),Population growth (annual %),Forest area (% of land area),Arable land (% of land area),Population growth (annual %),Forest area (% of land area),Arable land (% of land area),Population growth (annual %),Forest area (% of land area),Arable land (% of land area)
2000,1.36677132973907,65.9343586013156,5.43757343140938,0.787956592953992,18.7804969919467,12.6970619754475,1.82218400218023,22.7334950003195,54.127048725443,0.962864025570883,14.6552110725503,11.3857998994304
2005,1.11720287765336,63.5709200850907,5.78274592193957,0.588124989556992,20.0330481613855,12.8669586059388,1.60412916927926,23.0538579774586,53.6272488471978,0.945094240817718,14.5051809840985,10.8606945898491
2010,0.93941802248079,61.2074815688658,6.15029181133602,0.482959688678361,21.2855968996448,12.8778413090614,1.37759581159767,23.3742209545976,52.8082631786061,1.19303600363508,14.3551508956467,10.331467574541
2015,0.845992601345206,60.2867145082518,6.52274309834485,0.581456146657648,22.3130941846073,12.6893569275309,1.18779532005068,23.8222246139668,52.6078050847743,2.07401685853513,14.2051208071948,9.89209374407505
2018,0.793768153848091,59.7084279516735,6.67158004053533,0.467672053461959,22.9417353835101,12.676760346472,1.08752772157855,24.0910268095884,52.29329810742,1.22553003994341,14.1151027541238,9.89209374407505
