,Country Name,Country Code,Indicator Name,2000,2005,2010,2015,2018
0,Brazil,BRA,Population growth (annual %),1.36677132973907,1.11720287765336,0.93941802248079,0.845992601345206,0.793768153848091
1,Brazil,BRA,Forest area (% of land area),65.9343586013156,63.5709200850907,61.2074815688658,60.2867145082518,59.7084279516735
2,Brazil,BRA,Arable land (% of land area),5.43757343140938,5.78274592193957,6.15029181133602,6.52274309834485,6.67158004053533
3,China,CHN,Population growth (annual %),0.787956592953992,0.588124989556992,0.482959688678361,0.581456146657648,0.467672053461959
4,China,CHN,Forest area (% of land area),18.7804969919467,20.0330481613855,21.2855968996448,22.3130941846073,22.9417353835101
5,China,CHN,Arable land (% of land area),12.6970619754475,12.8669586059388,12.8778413090614,12.6893569275309,12.676760346472
6,India,IND,Population growth (annual %),1.82218400218023,1.60412916927926,1.37759581159767,1.18779532005068,1.08752772157855
7,India,IND,Forest area (% of land area),22.7334950003195,23.0538579774586,23.3742209545976,23.8222246139668,24.0910268095884
8,India,IND,Arable land (% of land area),54.127048725443,53.6272488471978,52.8082631786061,52.6078050847743,52.29329810742
9,South Africa,ZAF,Population growth (annual %),0.962864025570883,0.945094240817718,1.19303600363508,2.07401685853513,1.22553003994341
10,South Africa,ZAF,Forest area (% of land area),14.6552110725503,14.5051809840985,14.3551508956467,14.2051208071948,14.1151027541238
11,South Africa,ZAF,Arable land (% of land area),11.3857998994304,10.8606945898491,10.331467574541,9.89209374407505,9.89209374407505
